CPU:0 [LOST 44585 EVENTS]
 0)   0.141 us    |                          } /* lock_page_memcg */
 0)   0.142 us    |                          PageHuge();
 0)   0.141 us    |                          unlock_page_memcg();
 0)   1.076 us    |                        } /* page_remove_rmap */
 0)   0.142 us    |                        __tlb_remove_page_size();
 0)   0.143 us    |                        _vm_normal_page();
 0)   0.137 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.143 us    |                          lock_page_memcg();
 0)   0.141 us    |                          PageHuge();
 0)   0.143 us    |                          unlock_page_memcg();
 0)   0.973 us    |                        }
 0)   0.142 us    |                        __tlb_remove_page_size();
 0)   0.144 us    |                        _vm_normal_page();
 0)   0.144 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.141 us    |                          lock_page_memcg();
 0)   0.140 us    |                          PageHuge();
 0)   0.142 us    |                          unlock_page_memcg();
 0)   0.974 us    |                        }
 0)   0.142 us    |                        __tlb_remove_page_size();
 0)   0.142 us    |                        _vm_normal_page();
 0)   0.144 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.143 us    |                          lock_page_memcg();
 0)   0.141 us    |                          PageHuge();
 0)   0.140 us    |                          unlock_page_memcg();
 0)   0.974 us    |                        }
 0)   0.143 us    |                        __tlb_remove_page_size();
 0)   0.143 us    |                        _vm_normal_page();
 0)   0.143 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.143 us    |                          lock_page_memcg();
 0)   0.142 us    |                          PageHuge();
 0)   0.144 us    |                          unlock_page_memcg();
 0)   0.974 us    |                        }
 0)   0.143 us    |                        __tlb_remove_page_size();
 0)   0.143 us    |                        _vm_normal_page();
 0)   0.143 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.142 us    |                          lock_page_memcg();
 0)   0.141 us    |                          PageHuge();
 0)   0.143 us    |                          unlock_page_memcg();
 0)   0.975 us    |                        }
 0)   0.143 us    |                        __tlb_remove_page_size();
 0)   0.142 us    |                        _vm_normal_page();
 0)   0.144 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.142 us    |                          lock_page_memcg();
 0)   0.142 us    |                          PageHuge();
 0)   0.141 us    |                          unlock_page_memcg();
 0)   0.976 us    |                        }
 0)   0.144 us    |                        __tlb_remove_page_size();
 0)   0.143 us    |                        _vm_normal_page();
 0)   0.145 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.142 us    |                          lock_page_memcg();
 0)   0.143 us    |                          PageHuge();
 0)   0.142 us    |                          unlock_page_memcg();
 0)   0.977 us    |                        }
 0)   0.143 us    |                        __tlb_remove_page_size();
 0)   0.143 us    |                        _vm_normal_page();
 0)   0.144 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.143 us    |                          lock_page_memcg();
 0)   0.207 us    |                          PageHuge();
 0)   0.143 us    |                          unlock_page_memcg();
 0)   1.048 us    |                        }
 0)   0.143 us    |                        __tlb_remove_page_size();
