CPU:0 [LOST 34738 EVENTS]
 0)   0.196 us    |                              } /* __acct_update_integrals */
 0)   0.841 us    |                            } /* acct_account_cputime */
 0)   2.410 us    |                          } /* account_system_index_time */
 0)   2.716 us    |                        } /* account_system_time */
 0)   3.019 us    |                      } /* account_process_tick */
 0)               |                      run_local_timers() {
 0)   0.152 us    |                        hrtimer_run_queues();
 0)   0.169 us    |                        raise_softirq();
 0)   0.797 us    |                      }
 0)               |                      rcu_check_callbacks() {
 0)   0.162 us    |                        raise_softirq();
 0)   0.525 us    |                      }
 0)               |                      scheduler_tick() {
 0)   0.149 us    |                        _raw_spin_lock();
 0)   0.181 us    |                        update_rq_clock();
 0)               |                        task_tick_fair() {
 0)               |                          update_curr() {
 0)   0.161 us    |                            update_min_vruntime();
 0)   0.212 us    |                            cpuacct_charge();
 0)               |                            __cgroup_account_cputime() {
 0)   0.150 us    |                              cgroup_rstat_updated();
 0)   0.439 us    |                            }
 0)   1.506 us    |                          }
 0)               |                          __update_load_avg_se() {
 0)   0.162 us    |                            __accumulate_pelt_segments();
 0)   0.532 us    |                          }
 0)               |                          __update_load_avg_cfs_rq() {
 0)   0.151 us    |                            __accumulate_pelt_segments();
 0)   0.463 us    |                          }
 0)   0.156 us    |                          update_cfs_group();
 0)   0.149 us    |                          hrtimer_active();
 0)               |                          update_curr() {
 0)   0.143 us    |                            update_min_vruntime();
 0) + 14.235 us   |                          }
 0)               |                          __update_load_avg_se() {
 0)   0.140 us    |                            __accumulate_pelt_segments();
 0)   0.616 us    |                          }
 0)               |                          __update_load_avg_cfs_rq() {
 0)   0.139 us    |                            __accumulate_pelt_segments();
 0)   0.424 us    |                          }
 0)               |                          update_cfs_group() {
 0)               |                            reweight_entity() {
 0)   0.144 us    |                              update_curr();
 0)   0.135 us    |                              account_entity_dequeue();
 0)   0.137 us    |                              account_entity_enqueue();
 0)   0.996 us    |                            }
 0)   1.319 us    |                          }
 0)   0.139 us    |                          hrtimer_active();
 0)               |                          update_curr() {
 0)   0.137 us    |                            update_min_vruntime();
 0)   0.436 us    |                          }
 0)               |                          __update_load_avg_se() {
 0)   0.140 us    |                            __accumulate_pelt_segments();
 0)   0.420 us    |                          }
 0)               |                          __update_load_avg_cfs_rq() {
 0)   0.139 us    |                            __accumulate_pelt_segments();
 0)   0.422 us    |                          }
 0)               |                          update_cfs_group() {
 0)               |                            reweight_entity() {
 0)   0.145 us    |                              update_curr();
 0)   0.136 us    |                              account_entity_dequeue();
 0)   0.137 us    |                              account_entity_enqueue();
 0)   0.945 us    |                            }
 0)   1.247 us    |                          }
 0)   0.140 us    |                          hrtimer_active();
 0)               |                          update_curr() {
 0)   0.137 us    |                            update_min_vruntime();
 0)   0.425 us    |                          }
 0)               |                          __update_load_avg_se() {
 0)   0.140 us    |                            __accumulate_pelt_segments();
 0)   0.419 us    |                          }
 0)               |                          __update_load_avg_cfs_rq() {
 0)   0.139 us    |                            __accumulate_pelt_segments();
 0)   0.422 us    |                          }
 0)               |                          update_cfs_group() {
 0)               |                            reweight_entity() {
 0)   0.144 us    |                              update_curr();
 0)   0.145 us    |                              account_entity_dequeue();
 0)   0.144 us    |                              account_entity_enqueue();
 0)   0.961 us    |                            }
 0)   1.247 us    |                          }
 0)   0.136 us    |                          hrtimer_active();
 0) + 28.179 us   |                        }
 0)               |                        cpu_load_update_active() {
 0)   0.134 us    |                          tick_nohz_tick_stopped();
 0)   0.159 us    |                          cpu_load_update();
 0)   0.723 us    |                        }
 0)   0.137 us    |                        calc_global_load_tick();
 0)   0.138 us    |                        trigger_load_balance();
 0) + 30.653 us   |                      }
 0)   0.155 us    |                      run_posix_cpu_timers();
 0) + 36.131 us   |                    } /* update_process_times */
 0)   0.150 us    |                    profile_tick();
 0) + 36.745 us   |                  } /* tick_sched_handle */
 0)   0.139 us    |                  hrtimer_forward();
 0) + 43.513 us   |                } /* tick_sched_timer */
 0)   0.136 us    |                _raw_spin_lock_irq();
 0)   0.394 us    |                enqueue_hrtimer();
 0) + 45.674 us   |              } /* __hrtimer_run_queues */
 0)               |              __hrtimer_get_next_event() {
 0)   0.141 us    |                __hrtimer_next_event_base();
 0)   0.166 us    |                __hrtimer_next_event_base();
 0)   0.712 us    |              }
 0)   0.139 us    |              _raw_spin_unlock_irqrestore();
 0)               |              tick_program_event() {
 0)               |                clockevents_program_event() {
 0)   0.157 us    |                  ktime_get();
 0)   2.611 us    |                  lapic_next_event();
 0)   3.237 us    |                }
 0)   3.527 us    |              }
 0) + 51.645 us   |            } /* hrtimer_interrupt */
 0)               |            irq_exit() {
 0)               |              __do_softirq() {
 0)               |                run_timer_softirq() {
 0)   0.137 us    |                  _raw_spin_lock_irq();
 0)   0.137 us    |                  _raw_spin_lock_irq();
 0)   0.729 us    |                }
 0)               |                rcu_process_callbacks() {
 0)   0.256 us    |                  note_gp_changes();
 0)   0.138 us    |                  _raw_spin_lock_irqsave();
 0)               |                  rcu_accelerate_cbs() {
 0)   0.265 us    |                    rcu_segcblist_pend_cbs();
 0)   0.147 us    |                    rcu_segcblist_accelerate();
 0)   0.845 us    |                  }
 0)               |                  rcu_report_qs_rnp() {
 0)   0.141 us    |                    _raw_spin_unlock_irqrestore();
 0)               |                    rcu_gp_kthread_wake() {
 0)               |                      swake_up_one() {
 0)   0.139 us    |                        _raw_spin_lock_irqsave();
 0)               |                        swake_up_locked.part.3() {
 0)               |                          wake_up_process() {
 0)               |                            try_to_wake_up() {
 0)   0.146 us    |                              _raw_spin_lock_irqsave();
 0)   0.134 us    |                              _raw_spin_lock();
 0)   0.152 us    |                              update_rq_clock();
 0)               |                              ttwu_do_activate() {
 0)               |                                activate_task() {
 0)               |                                  psi_task_change() {
 0)   0.160 us    |                                    record_times();
 0)   0.490 us    |                                  }
 0)               |                                  enqueue_task_fair() {
 0)               |                                    enqueue_entity() {
 0)               |                                      update_curr() {
 0)   0.136 us    |                                        update_min_vruntime();
 0)   0.406 us    |                                      }
 0)               |                                      __update_load_avg_se() {
 0)   0.135 us    |                                        __accumulate_pelt_segments();
 0)   0.448 us    |                                      }
 0)   0.160 us    |                                      __update_load_avg_cfs_rq();
 0)   0.133 us    |                                      update_cfs_group();
 0)   0.167 us    |                                      account_entity_enqueue();
 0)   0.152 us    |                                      __enqueue_entity();
 0)   2.470 us    |                                    }
 0)   0.137 us    |                                    hrtick_update();
 0)   3.056 us    |                                  }
 0)   4.015 us    |                                }
 0)               |                                ttwu_do_wakeup() {
 0)               |                                  check_preempt_curr() {
 0)               |                                    check_preempt_wakeup() {
 0)   0.146 us    |                                      update_curr();
 0)   0.337 us    |                                      wakeup_preempt_entity.isra.73();
 0)   0.157 us    |                                      set_next_buddy();
 0)   0.142 us    |                                      resched_curr();
 0)   1.522 us    |                                    }
 0)   1.808 us    |                                  }
 0)   2.350 us    |                                }
 0)   6.770 us    |                              }
 0)   0.135 us    |                              ttwu_stat();
 0)   0.140 us    |                              _raw_spin_unlock_irqrestore();
 0)   8.574 us    |                            }
 0)   8.848 us    |                          }
 0)   9.265 us    |                        }
 0)   0.147 us    |                        _raw_spin_unlock_irqrestore();
 0) + 10.080 us   |                      }
 0) + 10.369 us   |                    }
 0) + 10.917 us   |                  }
 0)   0.139 us    |                  rcu_jiffies_till_stall_check();
 0)   0.137 us    |                  rcu_segcblist_ready_cbs();
 0)   0.135 us    |                  rcu_segcblist_ready_cbs();
 0)   0.163 us    |                  rcu_segcblist_extract_done_cbs();
 0)   0.244 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)   0.155 us    |                      __slab_free();
 0)   0.603 us    |                    }
 0)   1.104 us    |                  }
 0)   0.179 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
 0)               |                      __slab_free() {
 0)   0.142 us    |                        put_cpu_partial();
 0)   0.449 us    |                      }
 0)   0.740 us    |                    }
 0)   1.094 us    |                  }
 0)   0.221 us    |                  rcu_cblist_dequeue();
 0)               |                  file_free_rcu() {
 0)               |                    kmem_cache_free() {
