CPU:0 [LOST 39941 EVENTS]
 0)   0.153 us    |                          } /* lock_page_memcg */
 0)   0.149 us    |                          PageHuge();
 0)   0.157 us    |                          __mod_node_page_state();
 0)   0.149 us    |                          unlock_page_memcg();
 0)   1.718 us    |                        } /* page_remove_rmap */
 0)   0.148 us    |                        __tlb_remove_page_size();
 0)   0.148 us    |                        _vm_normal_page();
 0)   0.178 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.149 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.149 us    |                          __mod_node_page_state();
 0)   0.148 us    |                          unlock_page_memcg();
 0)   1.315 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)   0.148 us    |                        _vm_normal_page();
 0)   0.161 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.148 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.149 us    |                          __mod_node_page_state();
 0)   0.148 us    |                          unlock_page_memcg();
 0)   1.305 us    |                        }
 0)   0.148 us    |                        __tlb_remove_page_size();
 0)   0.150 us    |                        _vm_normal_page();
 0)   0.148 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.150 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.148 us    |                          __mod_node_page_state();
 0)   0.149 us    |                          unlock_page_memcg();
 0)   1.306 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)   0.149 us    |                        _vm_normal_page();
 0)   0.154 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.148 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.149 us    |                          __mod_node_page_state();
 0)   0.147 us    |                          unlock_page_memcg();
 0)   1.306 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)   0.151 us    |                        _vm_normal_page();
 0)   0.147 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.149 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.149 us    |                          __mod_node_page_state();
 0)   0.148 us    |                          unlock_page_memcg();
 0)   1.308 us    |                        }
 0)   0.148 us    |                        __tlb_remove_page_size();
 0)   0.151 us    |                        _vm_normal_page();
 0)   0.146 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.150 us    |                          lock_page_memcg();
 0)   0.147 us    |                          PageHuge();
 0)   0.148 us    |                          __mod_node_page_state();
 0)   0.140 us    |                          unlock_page_memcg();
 0)   1.384 us    |                        }
 0)   0.150 us    |                        __tlb_remove_page_size();
 0)               |                        _cond_resched() {
 0)   0.147 us    |                          rcu_all_qs();
 0)   0.435 us    |                        }
 0)               |                        _cond_resched() {
 0)   0.148 us    |                          rcu_all_qs();
 0)   0.436 us    |                        } /* _cond_resched */
 0) + 19.438 us   |                      } /* unmap_page_range */
 0) + 20.106 us   |                    } /* unmap_single_vma */
 0)               |                    unmap_single_vma() {
 0)   0.142 us    |                      uprobe_munmap();
 0)               |                      unmap_page_range() {
 0)   0.149 us    |                        _raw_spin_lock();
 0)   0.146 us    |                        flush_tlb_batched_pending();
 0)   0.143 us    |                        _vm_normal_page();
 0)               |                        page_remove_rmap() {
 0)               |                          __dec_node_page_state() {
 0)   0.148 us    |                            __dec_node_state();
 0)   0.520 us    |                          }
 0)   0.863 us    |                        }
 0)               |                        __tlb_remove_page_size() {
 0)               |                          __get_free_pages() {
 0)               |                            alloc_pages_current() {
 0)   0.148 us    |                              get_task_policy.part.31();
 0)   0.149 us    |                              policy_nodemask();
 0)   0.148 us    |                              policy_node();
 0)               |                              __alloc_pages_nodemask() {
 0)   0.146 us    |                                should_fail_alloc_page();
 0)               |                                get_page_from_freelist() {
 0)   0.140 us    |                                  __inc_numa_state();
 0)   0.148 us    |                                  __inc_numa_state();
 0)   0.145 us    |                                  kernel_poison_pages();
 0)   0.146 us    |                                  page_poisoning_enabled();
 0)   1.356 us    |                                }
 0)   1.964 us    |                              }
 0)   3.128 us    |                            }
 0)   3.420 us    |                          }
 0)   3.762 us    |                        }
 0)               |                        _cond_resched() {
 0)   0.149 us    |                          rcu_all_qs();
 0)   0.436 us    |                        }
 0)               |                        _cond_resched() {
 0)   0.148 us    |                          rcu_all_qs();
 0)   0.434 us    |                        }
 0)   7.137 us    |                      }
 0)   7.716 us    |                    }
 0)               |                    unmap_single_vma() {
 0)   0.140 us    |                      uprobe_munmap();
 0)               |                      unmap_page_range() {
 0)   0.147 us    |                        _raw_spin_lock();
 0)   0.145 us    |                        flush_tlb_batched_pending();
 0)   0.149 us    |                        _vm_normal_page();
 0)               |                        page_remove_rmap() {
 0)               |                          __dec_node_page_state() {
 0)   0.146 us    |                            __dec_node_state();
 0)   0.435 us    |                          }
 0)   0.733 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)               |                        _cond_resched() {
 0)   0.147 us    |                          rcu_all_qs();
 0)   0.433 us    |                        }
 0)               |                        _cond_resched() {
 0)   0.145 us    |                          rcu_all_qs();
 0)   0.432 us    |                        }
 0)   3.401 us    |                      }
 0)   3.973 us    |                    }
 0)               |                    unmap_single_vma() {
 0)               |                      unmap_page_range() {
 0)   0.142 us    |                        _raw_spin_lock();
 0)   0.146 us    |                        flush_tlb_batched_pending();
 0)   0.142 us    |                        _vm_normal_page();
 0)               |                        page_remove_rmap() {
 0)               |                          __dec_node_page_state() {
 0)   0.148 us    |                            __dec_node_state();
 0)   0.431 us    |                          }
 0)   0.720 us    |                        }
 0)   0.148 us    |                        __tlb_remove_page_size();
 0)   0.146 us    |                        _vm_normal_page();
 0)               |                        page_remove_rmap() {
 0)               |                          __dec_node_page_state() {
 0)   0.148 us    |                            __dec_node_state();
 0)   0.434 us    |                          }
 0)   0.723 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)               |                        _cond_resched() {
 0)   0.146 us    |                          rcu_all_qs();
 0)   0.431 us    |                        }
 0)               |                        _cond_resched() {
 0)   0.146 us    |                          rcu_all_qs();
 0)   0.680 us    |                        }
 0)   5.104 us    |                      }
 0)   5.407 us    |                    }
 0)               |                    unmap_single_vma() {
 0)   0.148 us    |                      uprobe_munmap();
 0)               |                      unmap_page_range() {
 0)   0.143 us    |                        _raw_spin_lock();
 0)   0.146 us    |                        flush_tlb_batched_pending();
 0)   0.142 us    |                        _vm_normal_page();
 0)   0.165 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.147 us    |                          lock_page_memcg();
 0)   0.148 us    |                          PageHuge();
 0)   0.148 us    |                          unlock_page_memcg();
 0)   1.024 us    |                        }
 0)   0.148 us    |                        __tlb_remove_page_size();
 0)   0.148 us    |                        _vm_normal_page();
 0)   0.150 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.147 us    |                          lock_page_memcg();
 0)   0.147 us    |                          PageHuge();
 0)   0.147 us    |                          unlock_page_memcg();
 0)   1.012 us    |                        }
 0)   0.149 us    |                        __tlb_remove_page_size();
 0)   0.150 us    |                        _vm_normal_page();
 0)   0.143 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.149 us    |                          lock_page_memcg();
